id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
9835790 4751 5.74 0.12 61.73 1.17 10.949
9956345 4682 8.06 0.20 88.89 2.00 11.922
9893889 4646 3.80 0.09 30.75 0.84 10.341
9833073 4626 3.62 0.08 31.87 1.05 11.443
6762022 4757 4.41 0.08 40.48 0.97 11.532
7184978 4453 3.86 0.10 34.16 0.93 12.341
7018252 4741 3.55 0.07 27.35 0.63 10.825
7102068 4694 5.89 0.16 55.73 1.55 12.403
7266674 4651 3.90 0.08 31.01 1.13 12.028
7429055 4588 6.09 0.13 60.58 1.58 11.252
7347189 4717 4.04 0.09 41.57 2.22 10.841
7347195 4349 3.49 0.07 28.82 0.70 12.582
6762612 4863 4.33 0.09 40.14 1.38 12.308
6847371 4485 2.75 0.07 20.31 0.69 12.498
7019157 4935 3.43 0.08 27.68 0.80 12.183
7103182 4427 2.59 0.06 19.29 0.56 12.510
7186542 4659 4.25 0.09 41.17 1.05 11.923
7103297 4716 4.36 0.10 38.60 0.99 11.760
7186274 4688 4.02 0.09 32.41 0.98 12.137
7267593 4626 5.06 0.11 47.11 1.23 12.422
7103666 4713 4.16 0.09 34.62 1.42 11.424
6934780 4869 3.68 0.10 26.74 1.14 11.882
7187059 4728 5.64 0.12 54.61 1.14 11.949
6935260 4677 4.59 0.12 42.66 0.97 10.844
7020371 4413 2.10 0.05 15.79 0.39 11.655
7020392 4709 4.04 0.09 31.96 1.39 12.165
6850417 4799 4.09 0.11 36.43 1.19 10.966
6850177 4640 4.58 0.08 45.23 1.01 11.160
6764685 4735 10.02 0.20 121.67 2.38 12.241
6936990 4602 4.18 0.09 39.09 1.26 12.009
6936796 4440 3.28 0.09 22.52 1.12 11.200
6938892 4514 3.90 0.14 31.07 1.02 12.459
6939158 4461 3.36 0.07 28.93 0.91 11.921
6853266 4615 3.68 0.10 29.96 0.87 12.043
7024649 4618 3.79 0.08 28.29 0.70 12.236
7108501 4744 4.80 0.09 51.28 1.35 11.017
7108536 4765 4.00 0.09 30.35 1.66 11.980
7108646 4574 3.75 0.11 30.81 1.73 12.311
6854095 4853 3.88 0.09 31.13 1.08 11.764
6768319 4648 5.58 0.13 53.61 1.09 11.570
6853779 4354 1.61 0.07 11.43 0.36 11.789
6854391 5115 5.69 0.11 61.91 1.75 11.096
6768355 4760 4.18 0.09 37.25 2.57 11.393
6768654 4786 5.20 0.12 50.29 1.59 11.950
7109120 4575 5.96 0.14 60.53 1.74 11.166
6940048 4810 4.05 0.09 32.94 2.32 10.310
7025721 4829 4.34 0.08 37.88 0.90 10.900
7273672 4449 2.71 0.07 21.36 0.62 11.398
7191673 4512 3.61 0.08 32.21 0.92 10.701
7273426 4699 3.79 0.11 30.80 0.76 11.388
7273176 4927 3.91 0.11 30.15 1.49 11.884
6271732 4887 4.04 0.09 32.57 0.68 9.984
6429457 4526 3.07 0.07 23.65 0.46 11.284
6428974 4780 4.58 0.09 41.24 2.01 11.234
6507794 4853 16.03 0.38 205.33 4.29 12.185
6591027 4599 5.38 0.12 53.89 1.21 11.904
6591336 4340 2.91 0.07 24.48 0.59 11.640
6590363 4495 3.60 0.08 31.12 1.01 11.011
6590675 4604 3.34 0.09 27.52 0.88 12.449
6508300 4705 4.12 0.08 34.79 1.07 12.427
6676885 4645 4.12 0.10 35.61 0.85 12.335
