id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
10132247 61.78 1.67 6.47 0.13 11.36 4793
9942816 40.23 0.97 4.45 0.10 11.54 5128
9882446 49.53 1.17 4.97 0.10 10.58 4774
10065848 30.32 0.70 4.02 0.09 11.13 4882
10002647 37.61 0.96 4.26 0.10 11.52 4900
10328946 33.03 0.96 4.03 0.09 12.35 4780
10328498 43.31 1.01 4.48 0.12 11.17 4872
9941713 47.75 1.21 4.73 0.11 12.25 4885
9881167 32.70 0.93 3.84 0.09 11.51 4843
9942071 35.26 0.87 4.09 0.08 12.15 4977
10196797 30.87 0.71 4.04 0.12 10.97 4802
10196240 34.66 0.77 4.04 0.10 10.81 4816
10128629 38.53 1.81 4.15 0.09 12.11 4935
9941141 88.72 1.68 7.93 0.15 11.41 4734
9820702 61.14 1.78 5.95 0.12 10.24 4828
10790301 30.75 0.81 3.78 0.08 12.05 4761
10528911 32.02 1.40 3.91 0.10 12.06 4679
10659842 74.51 1.49 6.99 0.13 9.93 4973
10592335 50.30 1.26 5.00 0.10 11.96 4768
10592924 52.60 1.49 5.39 0.11 11.70 4972
10657633 45.83 0.98 5.00 0.11 11.85 4973
10724027 31.66 0.99 3.93 0.09 11.38 4897
10723388 31.24 1.48 3.99 0.10 11.48 4861
10724041 33.53 1.05 4.02 0.09 12.28 4756
10658326 89.00 1.97 8.08 0.16 12.16 5111
10527754 60.05 1.19 5.94 0.12 11.83 4592
10527661 31.48 0.82 4.45 0.13 10.68 5072
10592249 37.13 0.87 4.17 0.08 11.80 4819
10721900 36.77 0.84 3.93 0.10 11.63 4886
10461323 84.14 4.03 8.68 1.00 10.01 4816
10395638 42.40 2.37 4.45 0.09 10.19 4738
10198347 40.10 1.49 4.53 0.09 10.29 4944
10395400 31.47 0.85 4.41 0.10 12.28 4905
10525475 39.19 1.15 4.29 0.09 10.78 4893
10525282 35.48 1.02 4.11 0.12 10.54 4907
10459794 45.84 1.05 4.78 0.10 12.13 4785
10524715 62.91 1.65 6.27 0.12 11.33 4927
10459696 61.05 1.46 5.88 0.13 11.11 4767
10394570 34.06 1.17 3.97 0.09 11.82 4766
8479182 33.92 1.00 3.95 0.09 11.41 4757
8414512 33.64 1.20 4.06 0.09 12.47 4787
8543200 40.75 1.14 4.44 0.10 9.40 4870
8607581 35.83 1.26 4.35 0.10 10.67 4921
8673221 36.95 1.11 3.99 0.10 9.74 4882
8737032 42.28 0.90 4.43 0.09 10.20 4689
8802374 31.65 0.72 3.60 0.08 10.95 4808
8479383 32.05 0.78 4.04 0.09 10.23 4747
8868800 33.55 0.75 4.01 0.09 12.33 4959
8803432 31.88 0.70 3.98 0.09 11.96 4936
8738333 60.46 1.34 5.87 0.14 12.62 4774
8480205 49.39 1.32 5.21 0.11 12.28 4619
8479780 40.15 0.88 4.37 0.09 11.37 5041
8544483 54.66 1.34 5.74 0.15 12.42 4785
8739118 34.02 0.99 3.84 0.10 10.16 4676
8738834 31.86 0.93 3.81 0.08 10.55 4622
8870432 44.85 0.81 4.21 0.10 9.78 4615
8675106 72.13 1.80 6.64 0.12 10.61 4740
8870850 34.92 1.00 4.01 0.11 12.21 4935
8804886 34.00 0.90 4.13 0.09 12.38 4836
8611114 34.27 0.97 4.22 0.09 10.65 4901
8740476 36.61 1.06 4.12 0.09 12.22 4902
8805565 34.76 1.98 3.96 0.11 10.48 4762
8805663 49.25 1.20 4.51 0.11 10.59 5028
8611833 38.08 0.93 4.05 0.09 11.94 4861
8676927 42.12 1.31 4.28 0.19 10.14 4947
8612520 41.53 1.23 4.20 0.08 11.72 4772
8676988 38.97 1.29 4.34 0.09 12.50 4875
8872046 64.86 1.32 6.46 0.13 12.21 4866
8872709 38.63 1.97 4.37 0.10 9.78 4808
8872979 77.05 2.00 6.39 0.13 10.76 5211
8612811 33.10 0.86 4.10 0.08 12.04 4954
8677701 30.38 1.02 3.64 0.08 12.46 4587
8741733 38.57 1.31 4.32 0.09 12.46 4874
8873797 30.56 1.16 3.83 0.08 11.91 4747
8677342 51.30 1.11 5.18 0.10 11.29 4864
9009805 49.72 1.05 5.20 0.11 11.88 4949
9077844 47.07 1.10 4.72 0.14 10.19 4639
8941202 34.03 0.81 4.11 0.10 11.76 4997
8081069 34.41 0.89 4.10 0.11 12.44 4799
8081278 33.81 0.73 3.82 0.09 11.65 4651
8217514 31.47 1.31 3.78 0.08 12.29 4616
8348568 33.97 1.39 4.02 0.11 12.39 4964
8283646 66.02 1.44 6.06 0.13 11.47 4802
8081535 42.24 0.94 4.53 0.11 11.18 4831
8415501 31.48 0.79 3.59 0.08 11.79 4790
8350443 31.72 0.78 3.98 0.11 10.78 4849
8350645 54.27 1.15 5.21 0.11 10.82 4711
8283958 37.24 1.47 4.05 0.11 10.35 4651
8284032 38.23 1.10 4.26 0.09 11.70 4825
8082494 32.49 1.27 3.80 0.08 12.16 4773
8545291 55.10 1.15 5.81 0.15 11.20 4765
8219125 63.12 1.67 6.28 0.14 11.95 4730
8219000 42.81 1.00 4.66 0.12 12.49 4689
8151314 34.51 1.19 4.11 0.09 12.44 4783
